work_id,cost_ratio_vs_category_median,progress_vs_elapsed_time_ratio,days_since_last_photo,citizen_grievance_count
WRK-000000,1.0,0.21505376344086022,48.08417207931989,0
WRK-000001,0.8016032064128257,0.1,46.72379311648907,0
WRK-000002,1.002004008016032,0.1,47.6952199974851,0
WRK-000003,1.002004008016032,0.1,5.595885797031665,0
WRK-000004,1.002004008016032,0.1,1.7287479939675405,0
WRK-000005,1.002004008016032,0.1,29.053210314123014,0
WRK-000006,1.002004008016032,0.1,28.199213885151472,0
WRK-000007,1.002004008016032,0.1,62.48591913098995,1
WRK-000008,1.002004008016032,0.1,298.8272311122447,5
WRK-000009,1.002004008016032,0.1,20.931216930863286,1
WRK-000010,1.002004008016032,0.1,1.4087261359561642,0
WRK-000011,1.002004008016032,0.1,21.78047256047919,0
WRK-000012,1.002004008016032,0.1,34.62654705767616,0
WRK-000013,1.002004008016032,0.1,7.737896491798226,1
WRK-000014,2.5,0.1,136.32896112274068,3
WRK-000015,0.5,0.1,3.0754650765245337,0
WRK-000016,1.0,0.1,1.8315453478038308,0
WRK-000017,1.002004008016032,0.1,275.2666395907645,5
WRK-000018,1.002004008016032,0.1,18.02398550740316,1
WRK-000019,1.002004008016032,0.1,289.3361864839371,4
WRK-000020,1.002004008016032,0.1,24.947718996272485,1
WRK-000021,1.002004008016032,0.1,4.471527444246408,0
WRK-000022,1.002004008016032,0.1,36.75940528288925,1
WRK-000023,1.002004008016032,0.1,24.541717264285182,0
WRK-000024,1.002004008016032,0.1,13.115923079260012,0
WRK-000025,1.002004008016032,0.1,8.341734126236332,0
WRK-000026,1.002004008016032,0.1,9.066393785965314,2
WRK-000027,1.002004008016032,0.1,1.5415429411130948,1
WRK-000028,1.002004008016032,0.1,3.5926450874910754,1
WRK-000029,1.002004008016032,0.1,13.706409032085006,0
WRK-000030,1.002004008016032,0.1,7.773604723196426,0
WRK-000031,1.002004008016032,0.1,25.28413715130213,0
WRK-000032,1.002004008016032,0.1,14.169812548322508,0
